[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/message.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/PrestAr/PrestAr/settings.py first seen with mtime 1644765734.1233242
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/keyword.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_hashlib.cpython-39-darwin.so first seen with mtime 1642289553.6548245
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/PrestAr/manage.py first seen with mtime 1639277839.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/backends/sqlite3/introspection.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/apps/config.py first seen with mtime 1642289764.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/statistics.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/bisect.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/contrib/auth/signals.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/platform.py first seen with mtime 1636999517.0
